RCDT Code,District Name,Local Affiliation
21028168026,Frankfort CUSD 168,IFT-AFT
21028174026,Thompsonville CUSD 174,IFT-AFT
21028188026,Zeigler-Royalton CUSD 188,IFT-AFT
21028196026,Sesser-Valier CUSD 196,IEA-NEA
21044032003,New Simpson Hill SD 32,IEA-NEA
21044043003,Buncombe Cons SD 43,IEA-NEA
21044055002,Vienna SD 55,IEA-NEA
21044064002,Cypress SD 64,IEA-NEA
21044133017,Vienna HSD 133,IEA-NEA
21061001026,Massac UD 1,IEA-NEA
21061038026,Joppa-Maple Grove UD 38,IFT-AFT
21100001026,Johnston City CUSD 1,IEA-NEA
21100002026,Marion CUSD 2,IEA-NEA
21100003026,Crab Orchard CUSD 3,IEA-NEA
21100004026,Herrin CUSD 4,IEA-NEA
21100005026,Carterville CUSD 5,IEA-NEA
21100801060,Williamson Co Spec Educ District,IEA-NEA
24032001026,Coal City CUSD 1,NULL
24032002C02,Mazon-Verona-Kinsman ESD 2C,IEA-NEA
24032024C04,Nettle Creek CCSD 24C,IFT-AFT
24032054002,Morris SD 54,IEA-NEA
24032060C04,Saratoga CCSD 60C,IEA-NEA
24032072C04,Gardner CCSD 72C,IEA-NEA
24032073017,Gardner S Wilmington Twp HSD 73,IFT-AFT
24032075002,Braceville SD 75,IEA-NEA
24032101016,Morris CHSD 101,IEA-NEA
24032101061,Grundy County Spec Educ Coop,IEA-NEA
24032111016,Minooka CHSD 111,IEA-NEA
24032201004,Minooka CCSD 201,IEA-NEA
24032790040,Grundy Area Vocational Center,IEA-NEA
24047018016,Newark CHSD 18,IEA-NEA
24047066004,Newark CCSD 66,IEA-NEA
24047088026,Plano CUSD 88,IEA-NEA
24047088061,Plano Area Special Ed Coop,NULL
24047090004,Lisbon CCSD 90,Independent
24047115026,Yorkville CUSD 115,IEA-NEA
24047308026,CUSD 308,IEA-NEA
26029001026,Astoria CUSD 1,IFT-AFT
26029002026,V I T CUSD 2,IEA-NEA
26029003026,CUSD 3 Fulton County,IFT-AFT
26029004026,Spoon River Valley CUSD 4,IEA-NEA
26029066025,Canton Union SD 66,IEA-NEA
26029097026,Lewistown CUSD 97,IFT-AFT
26034307016,Illini West H S Dist 307,IEA-NEA
